id,artist,track,album_id,imgUrl
6hfsIlwOxJ0cX8v2SNntBQ,Talking Heads,Love → Building on Fire - 2005 Remaster,5eqcF7pWzHgWpGdEmHgeSN,https://i.scdn.co/image/ab67616d00004851e71708b667804f6241dd1a59
6e7IrptCjEXaRcKrVaEgO1,Talking Heads,Perfect World - 2005 Remaster,5Dja2ASXd7MOM628iwYdtA,https://i.scdn.co/image/ab67616d000048518e7633ef5abbce7cb484210b
35ljOibZSLEjOEPGrbaJsH,Talking Heads,The Great Curve - 2005 Remaster,3AQgdwMNCiN7awXch5fAaG,https://i.scdn.co/image/ab67616d00004851e56fa8c916dc6ce419dcf557
42AJ0oFAlf8C3GIIftqTzT,Cheb Tahar,Ti sbabi,49WbUhzzdloagcrZKn0LhB,https://i.scdn.co/image/ab67616d00004851ea5f2674cdc7ce3f8c4d698d
4lJ6YVXQ0jUk5ILu0PSrA4,Faces,Ooh La La,4eTVgxB6wm5eGvesA4cUN5,https://i.scdn.co/image/ab67616d00004851416f18056ac5d7281d8a5878
1oht5GevPN9t1T3kG1m1GO,James Taylor,Fire and Rain - 2019 Remaster,1HiG0ukRmFPN13EVcf98Jx,https://i.scdn.co/image/ab67616d00004851b3adf9b1706b05af854bbad4
1UKobFsdqNXQb8OthimCKe,"Crosby, Stills & Nash",Helplessly Hoping - 2005 Remaster,6vUWpE8qciYHOhf7mgaGny,https://i.scdn.co/image/ab67616d00004851a32339b8818323380682a889
2jZPEeW2ynykb2GkVqpOkJ,"Crosby, Stills, Nash & Young",4 + 20,5bHkK1X4WEOzNvRhehvOcb,https://i.scdn.co/image/ab67616d0000485106e00756085191abc01e4cf0
1I6l01BaBgBCVkfQCpIlR6,Grateful Dead,Truckin' - 2013 Remaster,2UDDZVesmQwA4aYfa55diS,https://i.scdn.co/image/ab67616d00004851fd3f66a9ce4371f7ffa0346f
0P7DoyGrr4Wp9w5TotEtUC,The Band,The Weight - Remastered 2000,0ky5kdvfPxSmSpj03hpSAE,https://i.scdn.co/image/ab67616d0000485120bbceac6950d3fe13fa13c3
4UEgKxYLP0bPG6EwD0DgYK,Jim Croce,I Got a Name - Stereo Version,64dufEP8npd2jYoPfdzWPJ,https://i.scdn.co/image/ab67616d000048513519ec82cb709b2adb2a01cc
6vxHp3CDNo0afgKGp2yi1E,Paul Simon,Me and Julio Down by the Schoolyard,7npBPiCHjPj8PVIGPuHXep,https://i.scdn.co/image/ab67616d0000485137a40ab12a4fb96319a9d96f
