danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0.334,0.375,9,-12.723,0,0.0324,0.424,0.96,0.115,0.197,126.966,audio_features,2ISLCp6buC7r9aOKlVXCTS,spotify:track:2ISLCp6buC7r9aOKlVXCTS,https://api.spotify.com/v1/tracks/2ISLCp6buC7r9aOKlVXCTS,https://api.spotify.com/v1/audio-analysis/2ISLCp6buC7r9aOKlVXCTS,188107,4,Janis,Focus,188106,2023-12-06 08:12:00
0.271,0.481,7,-9.985,0,0.0378,0.107,0.465,0.156,0.136,118.065,audio_features,3bbfY8yDDwzLvvx3tFwy8i,spotify:track:3bbfY8yDDwzLvvx3tFwy8i,https://api.spotify.com/v1/tracks/3bbfY8yDDwzLvvx3tFwy8i,https://api.spotify.com/v1/audio-analysis/3bbfY8yDDwzLvvx3tFwy8i,744569,4,Starless,King Crimson,5106,2023-12-06 08:15:00
0.613,0.733,9,-8.858,1,0.0281,0.176,0.89,0.465,0.912,117.516,audio_features,6nvylyR221IvMYVYS3EFsO,spotify:track:6nvylyR221IvMYVYS3EFsO,https://api.spotify.com/v1/tracks/6nvylyR221IvMYVYS3EFsO,https://api.spotify.com/v1/audio-analysis/6nvylyR221IvMYVYS3EFsO,184693,4,Mother Focus,Focus,184693,2023-12-06 08:15:00
0.48,0.298,6,-13.477,1,0.0356,0.732,0.00283,0.1,0.0557,128.023,audio_features,28s5iRbX62GZG2ReZTLKDa,spotify:track:28s5iRbX62GZG2ReZTLKDa,https://api.spotify.com/v1/tracks/28s5iRbX62GZG2ReZTLKDa,https://api.spotify.com/v1/audio-analysis/28s5iRbX62GZG2ReZTLKDa,230173,4,Better Days,Graham Nash,1129,2023-12-06 08:15:00
0.392,0.321,0,-13.006,0,0.0362,0.000259,0.119,0.131,0.785,146.044,audio_features,74sSl4Ot0Adujang34Iu6Z,spotify:track:74sSl4Ot0Adujang34Iu6Z,https://api.spotify.com/v1/tracks/74sSl4Ot0Adujang34Iu6Z,https://api.spotify.com/v1/audio-analysis/74sSl4Ot0Adujang34Iu6Z,374907,4,Nymphenburger,East Of Eden,375693,2023-12-06 08:21:00
0.399,0.433,5,-13.721,1,0.0389,0.549,0.873,0.141,0.556,88.993,audio_features,2oZsXSssUFo09ZdDH217ld,spotify:track:2oZsXSssUFo09ZdDH217ld,https://api.spotify.com/v1/tracks/2oZsXSssUFo09ZdDH217ld,https://api.spotify.com/v1/audio-analysis/2oZsXSssUFo09ZdDH217ld,479187,4,Blessed Relief,Frank Zappa,70032,2023-12-06 08:24:00
0.193,0.841,7,-6.1,0,0.0677,0.181,0.424,0.0874,0.248,153.851,audio_features,1cRDV7RdfDeQM4aCEKwfLA,spotify:track:1cRDV7RdfDeQM4aCEKwfLA,https://api.spotify.com/v1/tracks/1cRDV7RdfDeQM4aCEKwfLA,https://api.spotify.com/v1/audio-analysis/1cRDV7RdfDeQM4aCEKwfLA,1012960,3,The Valentyne Suite: January's Search / February's Valentyne / The Grass Is Always Greener,Colosseum,18719,2023-12-06 08:24:00
0.681,0.431,1,-16.584,1,0.0388,0.628,0.868,0.128,0.903,108.816,audio_features,6e1WL693OnrKmRaRJN26EO,spotify:track:6e1WL693OnrKmRaRJN26EO,https://api.spotify.com/v1/tracks/6e1WL693OnrKmRaRJN26EO,https://api.spotify.com/v1/audio-analysis/6e1WL693OnrKmRaRJN26EO,171667,4,Racines synthétiques,Joël Fajerman,8852,2023-12-06 08:25:00
0.63,0.596,5,-11.2,0,0.0379,0.206,0.771,0.125,0.882,139.991,audio_features,3VIMS1p3sNifH0RQnmDf7s,spotify:track:3VIMS1p3sNifH0RQnmDf7s,https://api.spotify.com/v1/tracks/3VIMS1p3sNifH0RQnmDf7s,https://api.spotify.com/v1/audio-analysis/3VIMS1p3sNifH0RQnmDf7s,417853,4,Jumbo,Osibisa,4821,2023-12-06 08:25:00
0.228,0.0218,1,-29.798,1,0.0463,0.993,0.906,0.0956,0.0389,70.483,audio_features,1LLhJ3WMNRPERXF5zWj9ix,spotify:track:1LLhJ3WMNRPERXF5zWj9ix,https://api.spotify.com/v1/tracks/1LLhJ3WMNRPERXF5zWj9ix,https://api.spotify.com/v1/audio-analysis/1LLhJ3WMNRPERXF5zWj9ix,159168,4,Deep Sleep,The B-52's,1202,2023-12-06 08:25:00
0.456,0.335,4,-14.083,0,0.0344,0.918,0.872,0.217,0.251,177.1,audio_features,0ZZEXpvxE6eEfCvXTY0UYt,spotify:track:0ZZEXpvxE6eEfCvXTY0UYt,https://api.spotify.com/v1/tracks/0ZZEXpvxE6eEfCvXTY0UYt,https://api.spotify.com/v1/audio-analysis/0ZZEXpvxE6eEfCvXTY0UYt,635745,4,Stratosfear,Tangerine Dream,3178,2023-12-06 08:36:00
0.679,0.709,11,-5.427,1,0.0322,0.211,8.83e-06,0.339,0.95,126.974,audio_features,2AX3BnBmNwR2lHZhkKvmXJ,spotify:track:2AX3BnBmNwR2lHZhkKvmXJ,https://api.spotify.com/v1/tracks/2AX3BnBmNwR2lHZhkKvmXJ,https://api.spotify.com/v1/audio-analysis/2AX3BnBmNwR2lHZhkKvmXJ,144027,4,Anything That's Rock 'n' Roll,Tom Petty and the Heartbreakers,5128,2023-12-06 09:12:00
