,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.329,0.887,6,-5.06,0,0.0516,0.331,0.82,0.085,0.565,156.898,audio_features,32ORiXJSpjsxEBh53n03U4,spotify:track:32ORiXJSpjsxEBh53n03U4,https://api.spotify.com/v1/tracks/32ORiXJSpjsxEBh53n03U4,https://api.spotify.com/v1/audio-analysis/32ORiXJSpjsxEBh53n03U4,290800,4,Tisnant an Chatma,Tamikrest,290800,2024-01-12 18:24:00
0,0.501,0.78,0,-4.545,1,0.0315,0.00165,0.364,0.369,0.724,119.517,audio_features,6wuHfn4v6nhZ8R3fuDUhXH,spotify:track:6wuHfn4v6nhZ8R3fuDUhXH,https://api.spotify.com/v1/tracks/6wuHfn4v6nhZ8R3fuDUhXH,https://api.spotify.com/v1/audio-analysis/6wuHfn4v6nhZ8R3fuDUhXH,161387,4,Gaz Hilarant,The Brian Jonestown Massacre,161386,2024-01-12 18:27:00
0,0.382,0.799,0,-5.726,1,0.0328,0.0119,0.543,0.246,0.612,138.146,audio_features,3IEbkba4JkLBgc9joUKv0W,spotify:track:3IEbkba4JkLBgc9joUKv0W,https://api.spotify.com/v1/tracks/3IEbkba4JkLBgc9joUKv0W,https://api.spotify.com/v1/audio-analysis/3IEbkba4JkLBgc9joUKv0W,230507,4,Illuminomi,The Brian Jonestown Massacre,228893,2024-01-12 18:31:00
0,0.774,0.847,7,-5.533,0,0.036,0.00995,0.772,0.0469,0.961,127.986,audio_features,3Z9uims4BXsx1DtETrjNDo,spotify:track:3Z9uims4BXsx1DtETrjNDo,https://api.spotify.com/v1/tracks/3Z9uims4BXsx1DtETrjNDo,https://api.spotify.com/v1/audio-analysis/3Z9uims4BXsx1DtETrjNDo,191693,4,Madan,Salif Keita,1764,2024-01-12 18:32:00
0,0.664,0.765,6,-4.178,0,0.0314,0.0395,4.92e-05,0.114,0.827,96.105,audio_features,69r64jfxYq5CrtVZL46D5r,spotify:track:69r64jfxYq5CrtVZL46D5r,https://api.spotify.com/v1/tracks/69r64jfxYq5CrtVZL46D5r,https://api.spotify.com/v1/audio-analysis/69r64jfxYq5CrtVZL46D5r,377027,4,NOUAR,Cheikha Rimitti,377026,2024-01-12 18:38:00
0,0.739,0.697,0,-4.76,1,0.0397,0.782,0.0,0.115,0.314,87.021,audio_features,6yNVVGfGQWwJA2xPeUYJUx,spotify:track:6yNVVGfGQWwJA2xPeUYJUx,https://api.spotify.com/v1/tracks/6yNVVGfGQWwJA2xPeUYJUx,https://api.spotify.com/v1/audio-analysis/6yNVVGfGQWwJA2xPeUYJUx,282822,4,NAKHLA,Cheikha Rimitti,376786,2024-01-12 18:44:00
0,0.587,0.639,10,-3.993,0,0.0374,0.0313,0.0,0.173,0.132,95.731,audio_features,2FOWOSFhpOGiFeliXpdyuq,spotify:track:2FOWOSFhpOGiFeliXpdyuq,https://api.spotify.com/v1/tracks/2FOWOSFhpOGiFeliXpdyuq,https://api.spotify.com/v1/audio-analysis/2FOWOSFhpOGiFeliXpdyuq,405280,4,HAK HAK,Cheikha Rimitti,405280,2024-01-12 18:51:00
0,0.727,0.571,4,-10.608,0,0.148,0.392,1.65e-06,0.339,0.665,137.112,audio_features,2NyTK2DNx8wKCCtCxHBPcS,spotify:track:2NyTK2DNx8wKCCtCxHBPcS,https://api.spotify.com/v1/tracks/2NyTK2DNx8wKCCtCxHBPcS,https://api.spotify.com/v1/audio-analysis/2NyTK2DNx8wKCCtCxHBPcS,45293,5,SAïDA,Cheikha Rimitti,411986,2024-01-12 18:58:00
0,0.589,0.827,11,-2.938,1,0.384,0.0143,0.00151,0.14,0.386,161.978,audio_features,5STdMlrBf6pqWiNE7WqxSi,spotify:track:5STdMlrBf6pqWiNE7WqxSi,https://api.spotify.com/v1/tracks/5STdMlrBf6pqWiNE7WqxSi,https://api.spotify.com/v1/audio-analysis/5STdMlrBf6pqWiNE7WqxSi,256240,4,MANI MAN,Cheikha Rimitti,48680,2024-01-12 18:59:00
0,0.659,0.852,4,-6.778,0,0.0442,0.164,6.88e-05,0.095,0.909,157.849,audio_features,6yJmeHMr991MNLWMRQBdcI,spotify:track:6yJmeHMr991MNLWMRQBdcI,https://api.spotify.com/v1/tracks/6yJmeHMr991MNLWMRQBdcI,https://api.spotify.com/v1/audio-analysis/6yJmeHMr991MNLWMRQBdcI,184733,4,Etoile filante,Djamel Laroussi,184733,2024-01-12 19:02:00
0,0.136,0.00986,7,-31.415,1,0.0417,0.939,0.59,0.291,0.0328,90.26,audio_features,28yLX37SSGe6qSXiSKQnG9,spotify:track:28yLX37SSGe6qSXiSKQnG9,https://api.spotify.com/v1/tracks/28yLX37SSGe6qSXiSKQnG9,https://api.spotify.com/v1/audio-analysis/28yLX37SSGe6qSXiSKQnG9,208240,3,"Ma mère l'oye, M. 62: Prélude: Très lent",Maurice Ravel,5754,2024-01-12 19:05:00
