endTime,artistName,trackName,msPlayed
2023-12-10 07:41,PJ Harvey,This Mess We're In,235840
2023-12-10 07:46,Sonic Youth,Kool Thing,246333
2023-12-10 07:50,PJ Harvey,Send His Love To Me,260773
2023-12-10 07:52,PJ Harvey,The Last Living Rose,141280
2023-12-10 07:56,PJ Harvey,Down By The Water,194506
2023-12-10 08:02,Echo & the Bunnymen,The Killing Moon,348293
2023-12-10 08:06,PJ Harvey,Angelene,214226
2023-12-10 08:08,PJ Harvey,When Under Ether,142400
2023-12-10 08:09,Hole,Doll Parts,50178
2023-12-10 08:19,Tori Amos,Cornflake Girl,2858
2023-12-10 12:13,Richard Thompson,1952 Vincent Black Lightning,25253
2023-12-10 12:18,The Black Crowes,Sting Me,280133
2023-12-10 12:22,Buddy Guy,Mustang Sally (feat. Jeff Beck),283266
2023-12-10 12:23,War,Spill the Wine,22116
2023-12-10 12:27,Jerry Garcia,Shady Grove,259533
2023-12-10 12:29,The Peanut Butter Conspiracy,Flight of the Psychedelic Bumble Bee,122666
2023-12-10 12:30,Tom Waits,Goin' Out West - 2023 Remaster,39212
2023-12-10 12:30,Mick Jagger,I've Been Lonely For So Long,2013
2023-12-10 12:30,Pink Floyd,Marooned - 2011 Remaster,3037
2023-12-10 12:30,Béla Fleck and the Flecktones,The Sinister Minister,2242
2023-12-10 12:34,Mick Jagger,Wandering Spirit,258933
2023-12-10 12:37,Taj Mahal,Lovin' in My Baby's Eyes,160360
2023-12-10 12:42,The Black Crowes,Sometimes Salvation,284000
2023-12-10 12:46,Pink Floyd,What Do You Want From Me - 2011 Remaster,261480
2023-12-10 12:50,The Beatles,She's A Woman - Remastered 2009,182880
2023-12-10 12:54,Van Morrison,Real Real Gone,220920
2023-12-10 12:58,Red Hot Chili Peppers,Aeroplane,285066
2023-12-10 13:00,Alice In Chains,"No Excuses - Live at the Majestic Theatre, Brooklyn, NY - April 1996",76224
2023-12-10 13:10,Masayoshi Takanaka,トーキョーレギー,5418
2023-12-10 14:54,PJ Harvey,C'mon Billy,167600
2023-12-10 14:59,Masayoshi Takanaka,トーキョーレギー,255008
2023-12-10 15:00,Jeff Buckley,Dream Brother,1438
2023-12-10 15:00,Jeff Buckley,Grace,26301
2023-12-10 15:05,Radiohead,"There, There",323600
2023-12-10 15:09,Elliott Smith,Son Of Sam,184293
2023-12-10 15:14,The Velvet Underground,Venus In Furs,312253
2023-12-10 15:18,PJ Harvey,This Is Love,226666
2023-12-10 15:21,Pixies,Ana,129440
2023-12-10 15:25,PJ Harvey,Dress,18382
2023-12-10 15:25,Nick Cave & The Bad Seeds,Henry Lee (feat. PJ Harvey),238186
2023-12-10 15:28,PJ Harvey,Good Fortune,200200
2023-12-10 15:33,Elliott Smith,Waltz #2 (XO),280106
2023-12-10 15:35,Belle and Sebastian,The Boy With the Arab Strap,3061
2023-12-10 15:35,The Breeders,Cannonball,89286
2023-12-10 15:38,PJ Harvey,You Said Something,198733
2023-12-10 15:42,PJ Harvey,The Wind,241493
2023-12-10 15:47,Portishead,Sour Times,252266
2023-12-10 15:51,PJ Harvey,Angelene,214226
2023-12-10 15:51,The Magnetic Fields,The Book of Love,18943
2023-12-10 15:55,PJ Harvey,A Perfect Day Elise,186106
2023-12-10 15:59,PJ Harvey,Send His Love To Me,260773
2023-12-10 16:01,Kate Bush,Hounds Of Love,70762
2023-12-10 16:05,Sonic Youth,Kool Thing,246333
2023-12-10 16:09,PJ Harvey,Let England Shake,189280
2023-12-10 16:09,PJ Harvey,Rid Of Me,21982
2023-12-10 16:09,Echo & the Bunnymen,The Killing Moon,1386
2023-12-10 17:07,PJ Harvey,The Last Living Rose,2303
2023-12-10 18:29,The Rolling Stones,Sway - 2009 Mix,232533
2023-12-10 18:29,Cream,World Of Pain,0
2023-12-10 18:29,Jethro Tull,Living in the Past - 2001 Remaster,4233
2023-12-10 18:44,Blind Faith,Had To Cry Today,298517
2023-12-11 06:08,PJ Harvey,This Is Love,226666
2023-12-11 06:12,Nick Cave & The Bad Seeds,Henry Lee (feat. PJ Harvey),238186
2023-12-11 06:15,Pixies,Monkey Gone to Heaven,175333
2023-12-11 06:18,PJ Harvey,You Said Something,198733
2023-12-11 06:22,PJ Harvey,The Wind,241493
2023-12-11 06:25,PJ Harvey,Let England Shake,189280
2023-12-11 06:26,Blur,Tender,26467
2023-12-11 06:27,PJ Harvey,Good Fortune,49490
2023-12-11 06:29,PJ Harvey,C'mon Billy,167600
2023-12-11 06:33,Tangerine Dream,Cinnamon Road - 1995 Remaster,238933
